Student_ID,Week_Start,Attendance_Weekly,Engagement_Weekly,Behaviour_Incidents_Weekly,MonthStart
S1004,2025-03-10,99.02,82.99,0,2025-03-01
S1004,2025-03-17,98.6,74.07,0,2025-03-01
S1004,2025-03-24,96.12,77.13,1,2025-03-01
S1005,2025-01-06,92.34,73.99,0,2025-01-01
S1005,2025-01-13,95.26,80.13,1,2025-01-01
S1005,2025-01-20,90.16,75.56,0,2025-01-01
S1005,2025-01-27,92.78,70.39,0,2025-01-01
S1005,2025-02-03,92.93,92.0,0,2025-02-01
S1005,2025-02-10,89.69,75.18,0,2025-02-01
S1005,2025-02-17,90.48,78.79,0,2025-02-01
S1005,2025-02-24,90.06,72.98,0,2025-02-01
S1005,2025-03-03,91.76,70.53,1,2025-03-01
S1005,2025-03-10,90.66,71.64,0,2025-03-01
S1005,2025-03-17,86.98,68.1,0,2025-03-01
S1005,2025-03-24,88.39,70.32,1,2025-03-01
S1006,2025-01-06,74.72,45.04,0,2025-01-01
S1006,2025-01-13,83.42,41.33,0,2025-01-01
S1006,2025-01-20,80.56,49.86,0,2025-01-01
S1006,2025-01-27,77.83,39.0,0,2025-01-01
S1006,2025-02-03,77.43,48.64,0,2025-02-01
S1006,2025-02-10,79.64,53.33,0,2025-02-01
S1006,2025-02-17,79.29,47.57,2,2025-02-01
S1006,2025-02-24,77.94,59.81,1,2025-02-01
S1006,2025-03-03,75.94,40.58,1,2025-03-01
S1006,2025-03-10,79.67,36.78,5,2025-03-01
S1006,2025-03-17,77.35,46.63,1,2025-03-01
S1006,2025-03-24,82.64,31.85,0,2025-03-01
S1007,2025-01-06,79.24,66.48,0,2025-01-01
S1007,2025-01-13,73.44,66.67,0,2025-01-01
S1007,2025-01-20,74.11,69.88,0,2025-01-01
S1007,2025-01-27,78.53,58.38,0,2025-01-01
S1007,2025-02-03,82.61,68.2,0,2025-02-01
S1007,2025-02-10,82.24,67.33,2,2025-02-01
S1007,2025-02-17,77.82,65.1,0,2025-02-01
S1007,2025-02-24,81.68,57.63,2,2025-02-01
S1007,2025-03-03,82.22,69.21,1,2025-03-01
S1007,2025-03-10,73.99,64.3,2,2025-03-01
S1007,2025-03-17,80.62,60.51,1,2025-03-01
S1007,2025-03-24,75.06,60.67,1,2025-03-01
S1008,2025-01-06,89.72,69.08,0,2025-01-01
S1008,2025-01-13,87.16,65.86,0,2025-01-01
S1008,2025-01-20,91.1,53.05,1,2025-01-01
S1008,2025-01-27,81.51,74.29,0,2025-01-01
S1008,2025-02-03,88.79,62.0,0,2025-02-01
S1008,2025-02-10,89.46,66.83,0,2025-02-01
S1008,2025-02-17,87.06,60.25,0,2025-02-01
S1008,2025-02-24,85.79,67.73,1,2025-02-01
S1008,2025-03-03,85.87,74.32,0,2025-03-01
S1008,2025-03-10,83.78,66.64,0,2025-03-01
S1008,2025-03-17,86.28,73.4,0,2025-03-01
S1008,2025-03-24,88.78,68.75,1,2025-03-01
S1009,2025-01-06,69.29,59.3,1,2025-01-01
S1009,2025-01-13,79.23,40.06,0,2025-01-01
S1009,2025-01-20,70.5,44.91,0,2025-01-01
S1009,2025-01-27,76.87,51.33,0,2025-01-01
S1009,2025-02-03,68.37,50.0,0,2025-02-01
S1009,2025-02-10,76.68,53.88,3,2025-02-01
S1009,2025-02-17,75.99,52.85,0,2025-02-01
S1009,2025-02-24,74.76,50.85,0,2025-02-01
S1009,2025-03-03,74.12,52.8,0,2025-03-01
S1009,2025-03-10,74.95,54.65,2,2025-03-01
S1009,2025-03-17,68.3,45.6,4,2025-03-01
S1009,2025-03-24,75.09,57.79,2,2025-03-01
S1010,2025-01-06,73.55,37.49,0,2025-01-01
S1010,2025-01-13,80.4,53.14,1,2025-01-01
S1010,2025-01-20,74.87,45.67,2,2025-01-01
S1010,2025-01-27,76.17,39.62,2,2025-01-01
S1010,2025-02-03,77.42,44.79,0,2025-02-01
S1010,2025-02-10,81.95,40.76,1,2025-02-01
S1010,2025-02-17,77.0,49.51,0,2025-02-01
S1010,2025-02-24,77.6,44.91,1,2025-02-01
S1010,2025-03-03,78.2,43.78,0,2025-03-01
S1010,2025-03-10,75.45,44.82,1,2025-03-01
S1010,2025-03-17,75.49,33.28,1,2025-03-01
S1010,2025-03-24,76.61,41.06,1,2025-03-01
S1011,2025-01-06,84.01,60.05,1,2025-01-01
S1011,2025-01-13,87.46,61.68,1,2025-01-01
S1011,2025-01-20,83.47,58.0,0,2025-01-01
S1011,2025-01-27,87.57,66.56,2,2025-01-01
S1011,2025-02-03,86.39,53.28,0,2025-02-01
S1011,2025-02-10,84.35,61.95,1,2025-02-01
S1011,2025-02-17,86.04,60.68,0,2025-02-01
S1011,2025-02-24,89.71,46.97,0,2025-02-01
S1011,2025-03-03,80.93,48.99,0,2025-03-01
S1011,2025-03-10,89.59,53.64,0,2025-03-01
S1011,2025-03-17,78.01,54.7,2,2025-03-01
S1011,2025-03-24,88.3,48.59,0,2025-03-01
S1012,2025-01-06,95.34,52.14,0,2025-01-01
S1012,2025-01-13,96.07,56.67,0,2025-01-01
S1012,2025-01-20,97.73,62.43,0,2025-01-01
S1012,2025-01-27,92.38,60.67,0,2025-01-01
S1012,2025-02-03,99.25,50.0,0,2025-02-01
S1012,2025-02-10,95.43,54.21,0,2025-02-01
S1012,2025-02-17,93.95,47.01,1,2025-02-01
S1012,2025-02-24,90.34,56.48,0,2025-02-01
S1012,2025-03-03,98.48,38.29,0,2025-03-01
S1012,2025-03-10,89.98,47.7,1,2025-03-01
S1012,2025-03-17,94.28,51.7,0,2025-03-01
S1012,2025-03-24,92.01,56.9,0,2025-03-01
S1013,2025-01-06,83.29,83.56,2,2025-01-01
S1013,2025-01-13,81.21,75.7,1,2025-01-01
S1013,2025-01-20,79.46,79.8,2,2025-01-01
S1013,2025-01-27,84.83,84.66,0,2025-01-01
S1013,2025-02-03,80.17,83.51,0,2025-02-01
S1013,2025-02-10,77.79,79.81,0,2025-02-01
S1013,2025-02-17,79.43,81.36,2,2025-02-01
S1013,2025-02-24,81.37,82.4,2,2025-02-01
S1013,2025-03-03,78.91,84.51,1,2025-03-01
S1013,2025-03-10,79.62,81.63,2,2025-03-01
S1013,2025-03-17,87.59,70.31,0,2025-03-01
S1013,2025-03-24,80.86,77.1,1,2025-03-01
S1014,2025-01-06,80.52,66.91,1,2025-01-01
S1014,2025-01-13,83.96,60.0,2,2025-01-01
S1014,2025-01-20,80.78,67.05,0,2025-01-01
S1014,2025-01-27,86.55,55.28,2,2025-01-01
S1014,2025-02-03,87.98,65.27,0,2025-02-01
S1014,2025-02-10,90.19,61.18,0,2025-02-01
S1014,2025-02-17,86.65,60.1,0,2025-02-01
S1014,2025-02-24,84.24,61.35,1,2025-02-01
S1014,2025-03-03,78.6,73.49,1,2025-03-01
S1014,2025-03-10,80.03,61.96,0,2025-03-01
S1014,2025-03-17,85.27,57.14,0,2025-03-01
S1014,2025-03-24,87.41,54.85,2,2025-03-01
S1015,2025-01-06,82.82,63.93,3,2025-01-01
S1015,2025-01-13,84.32,62.44,1,2025-01-01
S1015,2025-01-20,88.83,58.16,0,2025-01-01
S1015,2025-01-27,84.79,59.57,1,2025-01-01
S1015,2025-02-03,82.86,54.63,2,2025-02-01
S1015,2025-02-10,83.59,54.55,0,2025-02-01
S1015,2025-02-17,85.28,61.64,2,2025-02-01
S1015,2025-02-24,81.69,56.88,0,2025-02-01
S1015,2025-03-03,84.88,79.08,2,2025-03-01
S1015,2025-03-10,86.28,68.53,4,2025-03-01
S1015,2025-03-17,82.39,69.52,0,2025-03-01
S1015,2025-03-24,82.45,62.23,1,2025-03-01
S1016,2025-01-06,100.0,81.38,0,2025-01-01
S1016,2025-01-13,94.97,80.97,0,2025-01-01
S1016,2025-01-20,94.57,93.68,0,2025-01-01
S1016,2025-01-27,96.58,88.71,0,2025-01-01
S1016,2025-02-03,100.0,89.03,0,2025-02-01
S1016,2025-02-10,99.0,93.56,0,2025-02-01
S1016,2025-02-17,97.28,99.1,1,2025-02-01
S1016,2025-02-24,96.69,87.59,0,2025-02-01
S1016,2025-03-03,99.38,92.78,1,2025-03-01
S1016,2025-03-10,100.0,81.21,0,2025-03-01
S1016,2025-03-17,94.55,100.0,0,2025-03-01
S1016,2025-03-24,99.62,88.05,0,2025-03-01
S1017,2025-01-06,87.47,74.16,0,2025-01-01
S1017,2025-01-13,85.57,75.48,0,2025-01-01
S1017,2025-01-20,88.46,78.65,0,2025-01-01
S1017,2025-01-27,79.39,79.82,1,2025-01-01
S1017,2025-02-03,80.55,74.4,1,2025-02-01
S1017,2025-02-10,87.68,71.58,1,2025-02-01
S1017,2025-02-17,85.23,67.72,2,2025-02-01
S1017,2025-02-24,83.37,78.94,1,2025-02-01
S1017,2025-03-03,89.88,77.62,0,2025-03-01
S1017,2025-03-10,88.04,75.85,0,2025-03-01
S1017,2025-03-17,86.38,70.47,1,2025-03-01
S1017,2025-03-24,91.32,81.97,1,2025-03-01
S1018,2025-01-06,78.22,54.76,1,2025-01-01
S1018,2025-01-13,78.36,45.72,0,2025-01-01
S1018,2025-01-20,77.94,64.33,1,2025-01-01
S1018,2025-01-27,78.93,53.81,0,2025-01-01
S1018,2025-02-03,74.93,52.63,0,2025-02-01
S1018,2025-02-10,74.43,56.61,2,2025-02-01
S1018,2025-02-17,81.17,59.9,1,2025-02-01
S1018,2025-02-24,75.64,47.04,0,2025-02-01
S1018,2025-03-03,79.32,61.26,1,2025-03-01
S1018,2025-03-10,74.45,51.63,0,2025-03-01
S1018,2025-03-17,77.57,50.07,0,2025-03-01
S1018,2025-03-24,76.67,49.77,1,2025-03-01
S1019,2025-01-06,80.41,62.93,1,2025-01-01
S1019,2025-01-13,83.99,54.32,0,2025-01-01
S1019,2025-01-20,74.09,61.46,0,2025-01-01
S1019,2025-01-27,79.33,68.58,2,2025-01-01
S1019,2025-02-03,76.3,59.01,2,2025-02-01
S1019,2025-02-10,83.96,72.31,0,2025-02-01
S1019,2025-02-17,85.4,61.5,2,2025-02-01
S1019,2025-02-24,80.78,80.36,1,2025-02-01
S1019,2025-03-03,82.59,59.12,0,2025-03-01
S1019,2025-03-10,82.41,61.48,0,2025-03-01
S1019,2025-03-17,79.72,63.31,1,2025-03-01
S1019,2025-03-24,81.68,55.4,0,2025-03-01
S1020,2025-01-06,78.27,29.85,0,2025-01-01
S1020,2025-01-13,80.94,21.3,0,2025-01-01
S1020,2025-01-20,76.7,29.07,0,2025-01-01
S1020,2025-01-27,75.43,33.7,1,2025-01-01
S1020,2025-02-03,72.57,29.28,0,2025-02-01
S1020,2025-02-10,78.14,29.18,4,2025-02-01
S1020,2025-02-17,79.32,36.82,1,2025-02-01
S1020,2025-02-24,73.34,24.35,1,2025-02-01
S1020,2025-03-03,78.57,27.48,1,2025-03-01
S1020,2025-03-10,75.86,32.22,0,2025-03-01
S1020,2025-03-17,79.62,29.97,1,2025-03-01
S1020,2025-03-24,76.58,41.71,1,2025-03-01
S1021,2025-01-06,95.11,61.47,0,2025-01-01
S1021,2025-01-13,96.09,71.26,0,2025-01-01
S1021,2025-01-20,97.86,74.88,1,2025-01-01
S1021,2025-01-27,96.49,76.11,0,2025-01-01
S1021,2025-02-03,93.95,62.73,2,2025-02-01
S1021,2025-02-10,100.0,66.91,0,2025-02-01
S1021,2025-02-17,94.2,68.38,0,2025-02-01
S1021,2025-02-24,96.24,74.92,1,2025-02-01
S1021,2025-03-03,96.67,61.02,0,2025-03-01
S1021,2025-03-10,97.72,73.13,1,2025-03-01
S1021,2025-03-17,96.37,75.13,0,2025-03-01
S1021,2025-03-24,93.83,69.95,3,2025-03-01
S1022,2025-01-06,80.71,67.75,0,2025-01-01
S1022,2025-01-13,77.21,73.1,1,2025-01-01
S1022,2025-01-20,79.34,67.33,0,2025-01-01
S1022,2025-01-27,79.74,58.87,1,2025-01-01
S1022,2025-02-03,75.26,63.35,0,2025-02-01
S1022,2025-02-10,82.12,65.09,0,2025-02-01
S1022,2025-02-17,79.03,66.22,1,2025-02-01
S1022,2025-02-24,76.23,71.51,1,2025-02-01
S1022,2025-03-03,80.68,67.66,0,2025-03-01
S1022,2025-03-10,80.04,69.29,1,2025-03-01
S1022,2025-03-17,75.14,66.87,2,2025-03-01
S1022,2025-03-24,77.9,70.1,1,2025-03-01
S1023,2025-01-06,83.07,45.54,0,2025-01-01
S1023,2025-01-13,81.43,46.93,1,2025-01-01
S1023,2025-01-20,78.95,41.82,0,2025-01-01
S1023,2025-01-27,81.03,46.22,0,2025-01-01
S1023,2025-02-03,81.14,43.95,1,2025-02-01
S1023,2025-02-10,75.43,54.85,2,2025-02-01
S1023,2025-02-17,76.07,46.51,0,2025-02-01
S1023,2025-02-24,78.12,49.92,2,2025-02-01
S1023,2025-03-03,80.98,33.55,2,2025-03-01
S1023,2025-03-10,79.12,52.47,1,2025-03-01
S1023,2025-03-17,77.63,49.11,0,2025-03-01
S1023,2025-03-24,79.13,52.12,0,2025-03-01
S1024,2025-01-06,96.76,80.48,0,2025-01-01
S1024,2025-01-13,97.26,80.61,0,2025-01-01
S1024,2025-01-20,92.05,71.26,4,2025-01-01
S1024,2025-01-27,93.73,77.08,0,2025-01-01
S1024,2025-02-03,90.21,85.25,1,2025-02-01
S1024,2025-02-10,94.7,79.09,0,2025-02-01
S1024,2025-02-17,98.7,73.68,1,2025-02-01
S1024,2025-02-24,94.16,69.99,2,2025-02-01
S1024,2025-03-03,93.75,69.73,0,2025-03-01
S1024,2025-03-10,89.56,70.94,0,2025-03-01
S1024,2025-03-17,98.3,93.28,2,2025-03-01
S1024,2025-03-24,93.89,79.02,0,2025-03-01
S1025,2025-01-06,76.0,59.72,0,2025-01-01
S1025,2025-01-13,71.04,66.09,0,2025-01-01
S1025,2025-01-20,73.88,62.22,1,2025-01-01
S1025,2025-01-27,73.7,69.53,0,2025-01-01
S1025,2025-02-03,77.15,68.01,0,2025-02-01
S1025,2025-02-10,79.06,65.85,0,2025-02-01
S1025,2025-02-17,77.23,55.59,3,2025-02-01
S1025,2025-02-24,78.19,71.09,1,2025-02-01
S1025,2025-03-03,74.95,62.78,1,2025-03-01
S1025,2025-03-10,74.59,64.28,0,2025-03-01
S1025,2025-03-17,77.02,62.19,0,2025-03-01
S1025,2025-03-24,74.96,61.06,2,2025-03-01
S1026,2025-01-06,72.79,19.91,1,2025-01-01
S1026,2025-01-13,71.46,40.78,0,2025-01-01
S1026,2025-01-20,77.39,32.86,1,2025-01-01
S1026,2025-01-27,73.53,42.8,0,2025-01-01
S1026,2025-02-03,67.52,29.23,1,2025-02-01
S1026,2025-02-10,74.94,30.18,0,2025-02-01
S1026,2025-02-17,76.61,33.59,1,2025-02-01
S1026,2025-02-24,71.84,36.68,0,2025-02-01
S1026,2025-03-03,73.52,41.33,1,2025-03-01
S1026,2025-03-10,69.96,30.31,0,2025-03-01
S1026,2025-03-17,69.0,26.58,2,2025-03-01
S1026,2025-03-24,72.28,30.31,1,2025-03-01
S1027,2025-01-06,70.5,33.78,3,2025-01-01
S1027,2025-01-13,71.95,42.27,0,2025-01-01
S1027,2025-01-20,73.41,34.97,0,2025-01-01
S1027,2025-01-27,70.82,31.51,2,2025-01-01
S1027,2025-02-03,70.43,48.96,2,2025-02-01
S1027,2025-02-10,76.65,51.53,0,2025-02-01
S1027,2025-02-17,68.07,48.68,0,2025-02-01
S1027,2025-02-24,66.88,36.85,0,2025-02-01
S1027,2025-03-03,70.54,35.87,0,2025-03-01
S1027,2025-03-10,68.71,34.49,1,2025-03-01
S1027,2025-03-17,73.51,36.84,2,2025-03-01
S1027,2025-03-24,66.72,28.91,1,2025-03-01
S1028,2025-01-06,86.79,61.31,1,2025-01-01
S1028,2025-01-13,85.17,56.17,0,2025-01-01
S1028,2025-01-20,85.01,58.12,0,2025-01-01
S1028,2025-01-27,84.52,58.28,1,2025-01-01
S1028,2025-02-03,83.08,63.54,1,2025-02-01
S1028,2025-02-10,84.53,65.29,0,2025-02-01
S1028,2025-02-17,86.65,55.57,0,2025-02-01
S1028,2025-02-24,81.23,67.85,2,2025-02-01
S1028,2025-03-03,82.31,52.22,0,2025-03-01
S1028,2025-03-10,87.37,56.8,1,2025-03-01
S1028,2025-03-17,80.93,66.23,0,2025-03-01
S1028,2025-03-24,88.04,58.69,1,2025-03-01
S1029,2025-01-06,81.18,67.93,1,2025-01-01
S1029,2025-01-13,76.28,74.58,1,2025-01-01
S1029,2025-01-20,83.4,79.31,0,2025-01-01
S1029,2025-01-27,79.91,66.87,0,2025-01-01
S1029,2025-02-03,76.99,80.33,1,2025-02-01
S1029,2025-02-10,82.37,57.59,0,2025-02-01
S1029,2025-02-17,81.18,70.97,1,2025-02-01
S1029,2025-02-24,78.72,82.63,1,2025-02-01
S1029,2025-03-03,77.47,68.24,0,2025-03-01
S1029,2025-03-10,79.56,75.68,2,2025-03-01
S1029,2025-03-17,75.89,70.93,0,2025-03-01
S1029,2025-03-24,71.15,74.3,0,2025-03-01
S1030,2025-01-06,83.18,62.65,0,2025-01-01
S1030,2025-01-13,87.63,60.86,0,2025-01-01
S1030,2025-01-20,80.39,82.36,1,2025-01-01
S1030,2025-01-27,85.63,88.55,0,2025-01-01
S1030,2025-02-03,85.06,68.62,1,2025-02-01
S1030,2025-02-10,82.25,77.4,0,2025-02-01
S1030,2025-02-17,84.62,83.33,0,2025-02-01
S1030,2025-02-24,79.16,76.79,0,2025-02-01
S1030,2025-03-03,78.3,71.08,1,2025-03-01
S1030,2025-03-10,85.17,88.69,0,2025-03-01
S1030,2025-03-17,85.9,93.79,0,2025-03-01
S1030,2025-03-24,81.54,80.1,0,2025-03-01
S1031,2025-01-06,76.85,33.36,1,2025-01-01
S1031,2025-01-13,76.23,45.05,1,2025-01-01
S1031,2025-01-20,80.12,31.8,0,2025-01-01
S1031,2025-01-27,80.6,51.03,0,2025-01-01
S1031,2025-02-03,77.3,36.51,1,2025-02-01
S1031,2025-02-10,77.3,45.05,1,2025-02-01
S1031,2025-02-17,77.29,41.81,1,2025-02-01
S1031,2025-02-24,82.17,45.31,4,2025-02-01
S1031,2025-03-03,79.52,42.89,3,2025-03-01
S1031,2025-03-10,69.83,37.65,0,2025-03-01
S1031,2025-03-17,73.17,40.12,0,2025-03-01
S1031,2025-03-24,75.17,41.57,2,2025-03-01
S1032,2025-01-06,90.61,73.45,0,2025-01-01
S1032,2025-01-13,97.83,74.3,0,2025-01-01
S1032,2025-01-20,93.97,62.22,0,2025-01-01
S1032,2025-01-27,91.27,69.46,0,2025-01-01
S1032,2025-02-03,90.5,74.85,1,2025-02-01
S1032,2025-02-10,92.21,73.76,1,2025-02-01
S1032,2025-02-17,87.54,78.25,0,2025-02-01
S1032,2025-02-24,89.68,84.06,0,2025-02-01
S1032,2025-03-03,95.15,70.85,1,2025-03-01
S1032,2025-03-10,93.41,79.09,0,2025-03-01
S1032,2025-03-17,89.51,75.63,0,2025-03-01
S1032,2025-03-24,94.2,75.15,1,2025-03-01
S1033,2025-01-06,87.22,50.47,0,2025-01-01
S1033,2025-01-13,89.57,57.64,1,2025-01-01
S1033,2025-01-20,93.18,56.29,0,2025-01-01
S1033,2025-01-27,85.65,68.91,1,2025-01-01
S1033,2025-02-03,96.8,69.38,1,2025-02-01
S1033,2025-02-10,88.84,63.34,1,2025-02-01
S1033,2025-02-17,94.22,59.59,1,2025-02-01
S1033,2025-02-24,95.18,62.42,2,2025-02-01
S1033,2025-03-03,91.2,66.21,0,2025-03-01
S1033,2025-03-10,85.96,52.12,0,2025-03-01
S1033,2025-03-17,84.52,60.94,0,2025-03-01
S1033,2025-03-24,89.78,46.72,1,2025-03-01
S1034,2025-01-06,81.4,16.54,0,2025-01-01
S1034,2025-01-13,80.23,27.98,1,2025-01-01
S1034,2025-01-20,76.1,29.95,0,2025-01-01
S1034,2025-01-27,77.74,17.04,0,2025-01-01
S1034,2025-02-03,75.65,21.58,0,2025-02-01
S1034,2025-02-10,73.24,18.85,0,2025-02-01
S1034,2025-02-17,71.8,27.22,2,2025-02-01
S1034,2025-02-24,73.41,21.53,0,2025-02-01
S1034,2025-03-03,76.1,24.01,0,2025-03-01
S1034,2025-03-10,68.79,25.02,0,2025-03-01
S1034,2025-03-17,75.51,25.69,0,2025-03-01
S1034,2025-03-24,77.8,13.3,0,2025-03-01
S1035,2025-01-06,89.58,87.8,0,2025-01-01
S1035,2025-01-13,88.0,80.48,2,2025-01-01
S1035,2025-01-20,88.38,89.54,0,2025-01-01
S1035,2025-01-27,92.55,91.07,0,2025-01-01
S1035,2025-02-03,90.8,95.42,0,2025-02-01
S1035,2025-02-10,91.89,85.1,0,2025-02-01
S1035,2025-02-17,86.07,96.59,4,2025-02-01
S1035,2025-02-24,89.66,91.46,1,2025-02-01
S1035,2025-03-03,83.61,87.27,0,2025-03-01
S1035,2025-03-10,90.14,82.69,0,2025-03-01
S1035,2025-03-17,87.2,89.9,1,2025-03-01
S1035,2025-03-24,86.76,96.72,1,2025-03-01
S1036,2025-01-06,78.82,68.95,2,2025-01-01
S1036,2025-01-13,78.1,61.13,0,2025-01-01
S1036,2025-01-20,82.19,58.59,0,2025-01-01
S1036,2025-01-27,79.34,70.16,0,2025-01-01
S1036,2025-02-03,75.64,60.54,0,2025-02-01
S1036,2025-02-10,83.09,54.82,0,2025-02-01
S1036,2025-02-17,83.57,67.19,1,2025-02-01
S1036,2025-02-24,79.64,58.38,0,2025-02-01
S1036,2025-03-03,82.83,62.2,0,2025-03-01
S1036,2025-03-10,75.84,59.65,1,2025-03-01
S1036,2025-03-17,81.13,70.83,0,2025-03-01
S1036,2025-03-24,80.72,77.58,2,2025-03-01
S1037,2025-01-06,90.49,83.39,0,2025-01-01
S1037,2025-01-13,90.77,94.97,2,2025-01-01
S1037,2025-01-20,87.56,90.41,0,2025-01-01
S1037,2025-01-27,86.94,87.85,0,2025-01-01
S1037,2025-02-03,95.44,81.26,0,2025-02-01
S1037,2025-02-10,84.42,95.38,1,2025-02-01
S1037,2025-02-17,90.23,93.07,2,2025-02-01
S1037,2025-02-24,87.83,98.39,0,2025-02-01
S1037,2025-03-03,84.21,92.8,0,2025-03-01
S1037,2025-03-10,87.55,98.43,1,2025-03-01
S1037,2025-03-17,86.72,90.7,2,2025-03-01
S1037,2025-03-24,85.32,95.81,0,2025-03-01
S1038,2025-01-06,69.77,59.85,1,2025-01-01
S1038,2025-01-13,67.53,57.53,0,2025-01-01
S1038,2025-01-20,71.22,58.26,1,2025-01-01
S1038,2025-01-27,70.78,50.01,3,2025-01-01
S1038,2025-02-03,69.3,71.36,1,2025-02-01
S1038,2025-02-10,70.28,60.58,0,2025-02-01
S1038,2025-02-17,67.51,60.03,2,2025-02-01
S1038,2025-02-24,68.93,50.88,1,2025-02-01
S1038,2025-03-03,67.43,58.89,0,2025-03-01
S1038,2025-03-10,66.53,57.34,1,2025-03-01
S1038,2025-03-17,71.53,57.34,0,2025-03-01
S1038,2025-03-24,69.19,65.81,0,2025-03-01
S1039,2025-01-06,65.23,52.76,2,2025-01-01
S1039,2025-01-13,71.18,58.26,0,2025-01-01
S1039,2025-01-20,64.74,62.27,2,2025-01-01
S1039,2025-01-27,62.97,62.47,1,2025-01-01
S1039,2025-02-03,70.73,67.2,2,2025-02-01
S1039,2025-02-10,71.87,60.37,3,2025-02-01
S1039,2025-02-17,71.77,53.02,0,2025-02-01
S1039,2025-02-24,65.76,57.07,1,2025-02-01
S1039,2025-03-03,70.24,55.41,1,2025-03-01
S1039,2025-03-10,70.06,60.5,1,2025-03-01
S1039,2025-03-17,65.62,57.95,0,2025-03-01
S1039,2025-03-24,65.84,59.91,1,2025-03-01
S1040,2025-01-06,80.38,66.79,1,2025-01-01
S1040,2025-01-13,83.56,53.28,0,2025-01-01
S1040,2025-01-20,82.49,54.98,0,2025-01-01
S1040,2025-01-27,79.23,54.22,0,2025-01-01
S1040,2025-02-03,79.85,64.53,1,2025-02-01
S1040,2025-02-10,88.35,51.75,0,2025-02-01
S1040,2025-02-17,78.02,53.26,1,2025-02-01
S1040,2025-02-24,78.39,57.06,0,2025-02-01
S1040,2025-03-03,84.08,52.42,1,2025-03-01
S1040,2025-03-10,80.62,55.22,1,2025-03-01
S1040,2025-03-17,86.67,64.65,1,2025-03-01
S1040,2025-03-24,82.18,51.2,1,2025-03-01
S1041,2025-01-06,80.33,43.35,1,2025-01-01
S1041,2025-01-13,83.68,64.63,0,2025-01-01
S1041,2025-01-20,80.94,64.06,0,2025-01-01
S1041,2025-01-27,80.02,59.61,1,2025-01-01
